Job_Title,Min_Salary,Max_Salary,Company,Ratings,Location,Headquarters,Size,Founded,Type_of_ownership,Industry,Sector,Revenue,Competitors
Data Scientist,$112K,$116K,Perspecta,3.2,"Adelphi, MD","Chantilly, VA",10000+ employees,2018,Company - Public,Aerospace & Defense,Aerospace & Defense,Unknown / Non-Applicable,Unknown
Data Scientist,$112K,$116K,Smith Hanley Associates,4.5,"Washington, DC","New York, 061",1 to 50 employees,1980,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,"Kforce, PageGroup, Robert Half"
Scientist - Machine Learning,$112K,$116K,Allen Institute,3.5,"Seattle, WA","Seattle, WA",201 to 500 employees,2003,Nonprofit Organization,Research & Development,Business Services,$100 to $500 million (USD),Unknown
Data Scientist,$112K,$116K,Eliassen Group,4.4,"Plano, TX","Reading, MA",1001 to 5000 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"TEKsystems, Kforce, Randstad US"
Data Scientist,$112K,$116K,Bayside Solutions,3.1,"Sunnyvale, CA","Pleasanton, CA",1 to 50 employees,2001,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),Unknown
Sr. Data Scientist,$112K,$116K,Evolve Vacation Rental,3.5,"Denver, CO","Denver, CO",201 to 500 employees,2011,Company - Private,Travel Agencies,Travel & Tourism,Unknown / Non-Applicable,Unknown
Data Scientist,$112K,$116K,AgreeYa Solutions,3.8,"Thousand Oaks, CA","Folsom, CA",1001 to 5000 employees,1999,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),Unknown
Data Scientist,$112K,$116K,Carolina Power & Light Co,3.7,"McLean, VA","Raleigh, NC",5001 to 10000 employees,1908,Subsidiary or Business Segment,Energy,"Oil, Gas, Energy & Utilities",Unknown / Non-Applicable,"South Carolina Electric & Gas, Virginia Electric and Power"
Analytics Manager - Data Mart,$112K,$116K,Central California Alliance for Health,3.5,"Scotts Valley, CA","Scotts Valley, CA",501 to 1000 employees,1996,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Unknown
Data Modeler (Analytical Systems),$112K,$116K,MassMutual,3.7,"Boston, MA","Springfield, MA",5001 to 10000 employees,1851,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),Unknown
Applied AI Scientist / Engineer,$112K,$116K,"New Iron Group, Inc.",5.0,"Boston, MA","Austin, TX",1 to 50 employees,2003,Contract,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown
"Data Engineer (Analytics, SQL, Python, AWS)",$112K,$116K,Travelers,4.0,"Hartford, CT","Hartford, CT",10000+ employees,1853,Company - Public,Insurance Carriers,Insurance,$10+ billion (USD),Unknown
Senior Data Analyst - Finance & Platform Analytics,$112K,$116K,Twitch,3.6,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Subsidiary or Business Segment,Internet,Information Technology,Unknown / Non-Applicable,Unknown
Senior Data Scientist,$110K,$163K,Klaviyo,4.8,"Boston, MA","Boston, MA",201 to 500 employees,2012,Company - Private,Computer Hardware & Software,Information Technology,Unknown / Non-Applicable,Unknown
Market Research Data Scientist,$110K,$163K,GutCheck,3.8,"Denver, CO","Denver, CO",51 to 200 employees,2009,Company - Private,Advertising & Marketing,Business Services,$10 to $25 million (USD),"Nielsen, Zappi, SurveyMonkey"
IT Partner Digital Health Technology and Data Science,$110K,$163K,Biogen,3.6,"Cambridge, MA","Cambridge, MA",5001 to 10000 employees,1978,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown
Data Scientist,$110K,$163K,HireAi,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$110K,$163K,HireAi,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
"Senior Machine Learning Scientist - Bay Area, CA",$110K,$163K,Tempus Labs,3.3,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unknown
"Software Engineer (Data Scientist, C,C++,Linux,Unix) - SISW - MG",$110K,$163K,Mentor Graphics,4.1,"Fremont, CA","Wilsonville, OR",5001 to 10000 employees,1981,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),"Cadence Design Systems, Synopsys, Altium Limited"
Senior Clinical Data Scientist Programmer,$110K,$163K,WCG (WIRB-Copernicus Group),3.6,"Hamilton, NJ","Princeton, NJ",1001 to 5000 employees,,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$100 to $500 million (USD),Unknown
Data Engineer,$110K,$163K,Kingfisher Systems,4.5,"Falls Church, VA","Falls Church, VA",51 to 200 employees,2005,Company - Private,Federal Agencies,Government,$25 to $50 million (USD),Unknown
Computer Vision / Deep Learning Scientist,$110K,$163K,Tempus Labs,3.3,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unknown
Data Solutions Engineer - Data Modeler,$110K,$163K,Liberty Mutual Insurance,3.4,"Indianapolis, IN","Boston, MA",10000+ employees,1912,Company - Private,Insurance Carriers,Insurance,$10+ billion (USD),"Travelers, Allstate, State Farm"
Data Scientist,$110K,$163K,Visionary Integration Professionals,4.3,"Washington, DC","Folsom, CA",501 to 1000 employees,1996,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),"CGI (Nevada), Accenture, Deloitte"
Data Scientist (TS/SCI w/ Poly),$110K,$163K,Maxar Technologies,3.5,"Herndon, VA","Westminster, CO",5001 to 10000 employees,,Company - Public,Aerospace & Defense,Aerospace & Defense,$2 to $5 billion (USD),Unknown
Weapons and Sensors Engineer/Scientist,$110K,$163K,Dynetics,4.0,"Huntsville, AL","Huntsville, AL",1001 to 5000 employees,1974,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),Unknown
Applied Computer Scientist,$110K,$163K,Systems & Technology Research,4.5,"Woburn, MA","Woburn, MA",201 to 500 employees,2010,Company - Private,Aerospace & Defense,Aerospace & Defense,$100 to $500 million (USD),Unknown
Senior Data Analyst,$110K,$163K,Novetta,4.5,"Herndon, VA","Mc Lean, VA",501 to 1000 employees,2012,Company - Private,Enterprise Software & Network Solutions,Information Technology,$100 to $500 million (USD),"Leidos, CACI International, Booz Allen Hamilton"
Cloud Data Engineer (Azure),$110K,$163K,Navy Federal Credit Union,3.9,"Merrifield, VA","Vienna, VA",10000+ employees,1933,Other Organization,Banks & Credit Unions,Finance,Unknown / Non-Applicable,Unknown
"Lead Certified Clinical Laboratory Scientist - Saturday - Tuesday, 8:00pm - 6:30am shift",$110K,$163K,Exact Sciences Corporation,4.0,"Madison, WI","Madison, WI",1001 to 5000 employees,1995,Company - Public,Health Care Services & Hospitals,Health Care,$100 to $500 million (USD),Unknown
Sr. Data Analyst,$110K,$163K,Community Behavioral Health,3.6,"Philadelphia, PA","Phila, PA",201 to 500 employees,1994,Company - Private,Health Care Services & Hospitals,Health Care,$500 million to $1 billion (USD),Unknown
Senior Scientist - Toxicologist - Product Integrity (Stewardship),$110K,$163K,Reynolds American,3.3,"Winston-Salem, NC","Winston-Salem, NC",5001 to 10000 employees,1875,Company - Private,Consumer Products Manufacturing,Manufacturing,$10+ billion (USD),Unknown
Senior Machine Learning Engineer,$110K,$163K,LifeOmic,5.0,"Raleigh, NC","Indianapolis, IN",51 to 200 employees,2016,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown
Product Data Scientist - Ads Data Science,$124K,$198K,Twitter,4.1,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2006,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"Facebook, Google, Pinterest"
Data Scientist,$124K,$198K,Postmates - Corporate HQ,3.2,"San Francisco, CA","San Francisco, CA",1001 to 5000 employees,2011,Company - Private,Express Delivery Services,Transportation & Logistics,Unknown / Non-Applicable,"DoorDash, Uber, Grubhub"
Data Scientist,$124K,$198K,"Visionist, Inc.",4.9,"Columbia, MD","Columbia, MD",51 to 200 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,$10 to $25 million (USD),Unknown
Data Scientist,$124K,$198K,Navio,,"San Mateo, CA","Half Moon Bay, CA",Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$124K,$198K,Concerto HealthAI,3.3,"Boston, MA","Boston, MA",201 to 500 employees,2018,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unknown
Data Scientist,$124K,$198K,Evolvinc,,"Burbank, CA","Los Angeles, CA",1 to 50 employees,2005,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$124K,$198K,PROPRIUS,5.0,"Sunnyvale, CA","London, United Kingdom",1 to 50 employees,,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$124K,$198K,TECHNOCRAFT Solutions,3.4,"San Ramon, CA","Hilliard, OH",1 to 50 employees,,Company - Private,Advertising & Marketing,Business Services,$1 to $5 million (USD),Unknown
Data Scientist,$124K,$198K,"Latitude, Inc.",4.1,"Washington, DC","Hanover, MD",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),Unknown
Data Scientist,$124K,$198K,Royce Geospatial,5.0,"Springfield, VA","Arlington, VA",51 to 200 employees,2014,Company - Private,Aerospace & Defense,Aerospace & Defense,$10 to $25 million (USD),Unknown
Data Scientist,$124K,$198K,CyberCoders,4.2,"Phoenix, AZ","Irvine, CA",201 to 500 employees,1999,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Unknown
Data Scientist,$124K,$198K,Booz Allen Hamilton Inc.,3.7,"Oxnard, CA","Mc Lean, VA",10000+ employees,1914,Company - Public,Consulting,Business Services,$5 to $10 billion (USD),"Accenture, Deloitte, PwC"
Data Scientist,$124K,$198K,Burns & McDonnell,3.8,"Kansas City, MO","Kansas City, MO",5001 to 10000 employees,1898,Company - Private,Architectural & Engineering Services,Business Services,$1 to $2 billion (USD),"Bechtel Jacobs, Black & Veatch, HNTB"
Data Scientist,$124K,$198K,InvenTech Info,4.8,"Jersey City, NJ","Bengaluru, India",201 to 500 employees,2010,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Unknown
Data Scientist,$124K,$198K,Robert Half,3.5,"Manchester, NH","Menlo Park, CA",10000+ employees,1948,Company - Public,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"Adecco, Manpower"
Analytics - Business Assurance Data Analyst,$124K,$198K,GreatAmerica Financial Services,4.6,"Cedar Rapids, IA","Cedar Rapids, IA",501 to 1000 employees,1992,Company - Private,Lending,Finance,$100 to $500 million (USD),Unknown
Data Scientist,$124K,$198K,Conflux Systems Inc.,4.5,"Winters, TX","Alpharetta, GA",1 to 50 employees,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),Unknown
Data Scientist,$124K,$198K,Criteo,3.9,"Ann Arbor, MI","Paris, France",1001 to 5000 employees,2005,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),"MediaMath, Conversant, AppNexus"
Data Scientist,$124K,$198K,Voice,3.4,"Brooklyn, NY",not available,Unknown,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$124K,$198K,Microagility,,"New York, NY","Princeton, NJ",1 to 50 employees,,Company - Private,Consulting,Business Services,$1 to $5 million (USD),Unknown
Data Scientist,$124K,$198K,Coverent,4.1,"McLean, VA","McLean, VA",51 to 200 employees,2008,Company - Private,Consulting,Business Services,$10 to $25 million (USD),Unknown
Data Scientist,$79K,$133K,Via Transportation,3.7,"New York, NY","New York, NY",501 to 1000 employees,2012,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Unknown
Senior Data Scientist,$79K,$133K,Benson Hill,3.5,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,2012,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$1 to $5 million (USD),Unknown
Data Scientist,$79K,$133K,"Conch Technologies, Inc",4.6,"Concord, CA","Memphis, TN",51 to 200 employees,,Company - Private,Consulting,Business Services,$5 to $10 million (USD),Unknown
Data Scientist,$79K,$133K,Falcon IT & Staffing Solutions,,"Fort Belvoir, VA","Washington, DC",Unknown,,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$133K,"Rainmaker Resources, LLC",,"Cincinnati, OH","Cincinnati, OH",1 to 50 employees,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Engineer,$79K,$133K,Rocket Lawyer,4.4,"San Francisco, CA","San Francisco, CA",51 to 200 employees,2008,Company - Private,Computer Hardware & Software,Information Technology,$50 to $100 million (USD),Unknown
Data Scientist,$79K,$133K,DataLab USA,3.6,"Germantown, MD","Germantown, MD",51 to 200 employees,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,"Acxiom, Merkle, Epsilon (North Carolina)"
Data Scientist,$79K,$133K,Werner Enterprises Inc,3.1,"Omaha, NE","Omaha, NE",10000+ employees,1956,Company - Public,Logistics & Supply Chain,Transportation & Logistics,$2 to $5 billion (USD),Unknown
Data Scientist,$79K,$133K,PeopleCom,5.0,"McLean, VA","Reston, VA",1 to 50 employees,,Company - Private,Unknown,Unknown,$1 to $5 million (USD),Unknown
Data Scientist - Machine Learning,$79K,$133K,VANTA Partners,5.0,"Open Fork, VA","Clifton Park, NY",1 to 50 employees,2018,Company - Private,Staffing & Outsourcing,Business Services,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$133K,B4Corp,,"Reston, VA","Leesburg, VA",51 to 200 employees,,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$133K,"Blue Icy Water, LLC",,United States,"Livonia, MI",1 to 50 employees,,Company - Private,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$133K,"Farmer's Business Network, Inc.",3.5,"San Carlos, CA","San Carlos, CA",201 to 500 employees,2014,Company - Private,Farm Support Services,Agriculture & Forestry,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$133K,Sonde Health,,"Boston, MA","Boston, MA",1 to 50 employees,,Private Practice / Firm,Health Care Services & Hospitals,Health Care,Less than $1 million (USD),Unknown
Data Scientist,$79K,$133K,Maxiom,5.0,"Ashburn, VA","Ashburn, VA",1 to 50 employees,,Company - Public,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$133K,Change Healthcare,2.7,"Lombard, IL","Nashville, TN",10000+ employees,2007,Company - Public,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$79K,$133K,DCS Corp,4.1,"Hampton, VA","Alexandria, VA",1001 to 5000 employees,1977,Company - Private,Research & Development,Business Services,$100 to $500 million (USD),Unknown
Data Scientist,$79K,$133K,Hive (CA),2.1,"San Francisco, CA","Los Angeles, CA",Unknown,2019,Company - Private,Telecommunications Services,Telecommunications,Unknown / Non-Applicable,Unknown
Machine Learning Engineer/Scientist,$79K,$133K,Jane Street,4.8,"New York, NY","New York, NY",501 to 1000 employees,2000,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown
Data Scientist - Intermediate,$69K,$116K,Envision LLC,4.5,"Saint Louis, MO","Saint Louis, MO",201 to 500 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),Unknown
Principal Data Scientist,$69K,$116K,Autodesk,4.0,"San Francisco, CA","San Rafael, CA",5001 to 10000 employees,1982,Company - Public,Computer Hardware & Software,Information Technology,$2 to $5 billion (USD),Unknown
Data Scientist,$69K,$116K,Hackensack Meridian Health,3.3,"Edison, NJ","Edison, NJ",10000+ employees,,Nonprofit Organization,Health Care Services & Hospitals,Health Care,$5 to $10 billion (USD),Unknown
"Senior Data Scientist – Image Analytics, Novartis AI Innovation Lab",$69K,$116K,Novartis,3.9,"Cambridge, MA","Basel, Switzerland",10000+ employees,1996,Company - Public,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,$10+ billion (USD),Unknown
Data Scientist,$69K,$116K,Net2Source Inc.,3.2,"Alpharetta, GA","Somerset, NJ",1001 to 5000 employees,2007,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),Unknown
Data Scientist,$69K,$116K,The Trade Desk,3.2,"Boulder, CO","Ventura, CA",1001 to 5000 employees,2009,Company - Public,Internet,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist- Industrial Discrete Sector Industry,$69K,$116K,IBM,3.7,"Atlanta, GA","Armonk, NY",10000+ employees,1911,Company - Public,IT Services,Information Technology,$10+ billion (USD),"Amazon, Accenture, Microsoft"
Data Scientist,$69K,$116K,Knowesis Inc.,4.4,"Falls Church, VA","Fairfax, VA",51 to 200 employees,2007,Company - Private,Consulting,Business Services,$25 to $50 million (USD),"Booz Allen Hamilton, Deloitte, ERPi"
Data Scientist,$69K,$116K,MoTek Technologies,3.1,"Mountain View, CA","San Jose, CA",1 to 50 employees,2009,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Unknown
Data Scientist,$69K,$116K,The Davey Tree Expert Company,3.3,"Kent, OH","Kent, OH",10000+ employees,1880,Self-employed,Timber Operations,Agriculture & Forestry,$1 to $2 billion (USD),"ACRT Services, Bartlett Tree Experts"
Data Scientist,$69K,$116K,HPOne,3.5,"Trumbull, CT","Trumbull, CT",501 to 1000 employees,2006,Company - Private,Insurance Carriers,Insurance,$50 to $100 million (USD),Unknown
Data Scientist,$69K,$116K,Stride Search,,"San Francisco, CA","Westlake Village, CA",1 to 50 employees,,Company - Private,Unknown,Unknown,Less than $1 million (USD),Unknown
Machine Learning Engineer,$69K,$116K,Software Engineering Institute,2.6,"Pittsburgh, PA","Pittsburgh, PA",501 to 1000 employees,1984,College / University,Colleges & Universities,Education,Unknown / Non-Applicable,Unknown
Data Scientist,$69K,$116K,Blue Cloak LLC,,"Sterling, VA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$69K,$116K,TBWA\Chiat\Day,2.7,"New York, NY","New York, NY",1001 to 5000 employees,1968,Company - Public,Advertising & Marketing,Business Services,$100 to $500 million (USD),Unknown
Data Scientist,$69K,$116K,ThreeBridge Solutions,3.5,"Alpharetta, GA","Minneapolis, MN",501 to 1000 employees,2009,Company - Private,Consulting,Business Services,Unknown / Non-Applicable,Unknown
Data Scientist,$69K,$116K,"Numeric, LLC",3.2,"Philadelphia, PA","Chadds Ford, PA",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services,$5 to $10 million (USD),Unknown
Data Analyst - Unilever Prestige,$69K,$116K,Dermalogica,3.8,"Carson, CA","Carson, CA",201 to 500 employees,1986,Subsidiary or Business Segment,Consumer Products Manufacturing,Manufacturing,$100 to $500 million (USD),"IMAGE Skincare, Aveda, Kiehl's"
Data Scientist,$69K,$116K,Centraprise,4.2,"Foster City, CA","Edison, NJ",51 to 200 employees,,Company - Private,IT Services,Information Technology,Less than $1 million (USD),Unknown
Data Scientist,$69K,$116K,TechProjects,4.8,"New York, NY","North Brunswick, NJ",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist,$69K,$116K,DW Simpson,4.2,"Frederick, MD","Chicago, IL",51 to 200 employees,1989,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),Unknown
Data & Machine Learning Scientist,$31K,$56K,Tempus Labs,3.3,"Chicago, IL","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unknown
Data Scientist,$31K,$56K,Grid Dynamics,4.0,"Santa Clara, CA","San Ramon, CA",1001 to 5000 employees,2006,Company - Private,Enterprise Software & Network Solutions,Information Technology,$50 to $100 million (USD),"Luxoft, EPAM, Capgemini Invent"
"VP, Data Science",$31K,$56K,7Park Data,3.9,"New York, NY","New York, NY",51 to 200 employees,2012,Company - Private,Research & Development,Business Services,Unknown / Non-Applicable,Unknown
Senior Business Intelligence Analyst,$31K,$56K,Protolabs,3.7,"Maple Plain, MN","Maple Plain, MN",1001 to 5000 employees,1999,Company - Public,Miscellaneous Manufacturing,Manufacturing,$100 to $500 million (USD),Unknown
Data Scientist,$31K,$56K,LinQuest,3.9,"Colorado Springs, CO","Los Angeles, CA",501 to 1000 employees,2004,Company - Private,Aerospace & Defense,Aerospace & Defense,$50 to $100 million (USD),Unknown
Data Engineer - Kafka,$31K,$56K,Western Digital,3.5,"San Jose, CA","San Jose, CA",10000+ employees,1970,Company - Public,Computer Hardware & Software,Information Technology,$10+ billion (USD),"Seagate Technology, Toshiba"
Data Scientist,$31K,$56K,Trexquant Investment,4.0,United States,"Stamford, CT",1 to 50 employees,2012,Company - Private,Investment Banking & Asset Management,Finance,Unknown / Non-Applicable,Unknown
Data Scientist,$31K,$56K,Ameritas Life Insurance Corp,3.0,"Cincinnati, OH","Lincoln, NE",1001 to 5000 employees,1887,Company - Private,Insurance Agencies & Brokerages,Insurance,$2 to $5 billion (USD),Unknown
Data Scientist,$31K,$56K,Fleetcor,3.7,"Atlanta, GA","Atlanta, GA",5001 to 10000 employees,2000,Company - Public,Financial Transaction Processing,Finance,$2 to $5 billion (USD),Unknown
Data Scientist,$31K,$56K,Radiant Digital,4.5,"Washington, DC","New York, NY",1 to 50 employees,,Company - Private,Unknown,Unknown,Less than $1 million (USD),Unknown
Data Scientist,$31K,$56K,Child Care Aware of America,2.8,"Arlington, VA","Arlington, VA",51 to 200 employees,1987,Nonprofit Organization,Social Assistance,Non-Profit,$25 to $50 million (USD),Unknown
Data Scientist,$31K,$56K,IntelliPro Group Inc.,4.1,"Santa Clara, CA","Santa Clara, CA",201 to 500 employees,,Company - Private,Unknown,Unknown,$10 to $25 million (USD),Unknown
In-Line Inspection Data Analyst,$31K,$56K,Quest Integrity,2.9,"Tulsa, OK","Kent, WA",201 to 500 employees,1996,Company - Public,Oil & Gas Services,"Oil, Gas, Energy & Utilities",$50 to $100 million (USD),Unknown
Data Scientist,$31K,$56K,Praxis Engineering,4.7,"Chantilly, VA","Annapolis Junction, MD",201 to 500 employees,2002,Subsidiary or Business Segment,Computer Hardware & Software,Information Technology,$100 to $500 million (USD),"Raytheon Technologies, Northrop Grumman, Booz Allen Hamilton"
Data Scientist,$31K,$56K,USI,3.4,"Southfield, MI","Saint Paul, MN",1001 to 5000 employees,1998,Company - Private,Construction,"Construction, Repair & Maintenance",$100 to $500 million (USD),Unknown
Data Scientist,$31K,$56K,Apex Systems,3.9,"San Francisco, CA","Glen Allen, VA",1001 to 5000 employees,1995,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$2 to $5 billion (USD),"TEKsystems, Insight Global, Accenture"
Data Scientist,$31K,$56K,"Pragmatics, Inc.",2.9,United States,"Reston, VA",201 to 500 employees,1985,Company - Private,IT Services,Information Technology,$100 to $500 million (USD),Unknown
Decision Scientist,$31K,$56K,Johns Hopkins University Applied Physics Laboratory,4.5,"Laurel, MD","Laurel, MD",5001 to 10000 employees,1942,Nonprofit Organization,Aerospace & Defense,Aerospace & Defense,$1 to $2 billion (USD),"MIT Lincoln Laboratory, Lockheed Martin, Northrop Grumman"
Data Scientist,$31K,$56K,Cambridge Mobile Telematics,4.9,"Cambridge, MA","Cambridge, MA",1 to 50 employees,2010,Company - Private,Enterprise Software & Network Solutions,Information Technology,Unknown / Non-Applicable,Unknown
Data Scientist - TS/SCI FSP or CI Required,$31K,$56K,Phoenix Operations Group,5.0,"Annapolis Junction, MD","Woodbine, MD",1 to 50 employees,2011,Company - Private,IT Services,Information Technology,$1 to $5 million (USD),Unknown
"Data Scientist, Applied Machine Learning - Bay Area",$95K,$119K,Tempus Labs,3.3,"Redwood City, CA","Chicago, IL",501 to 1000 employees,2015,Company - Private,Biotech & Pharmaceuticals,Biotech & Pharmaceuticals,Unknown / Non-Applicable,Unknown
Data Scientist,$95K,$119K,The Knot Worldwide,3.5,"Washington, DC","Chevy Chase, MD",1001 to 5000 employees,2019,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,Zola Registry
Data Scientist,$95K,$119K,Crossover Health,3.5,"San Clemente, CA","Aliso Viejo, CA",1 to 50 employees,2010,Company - Private,Health Care Services & Hospitals,Health Care,$1 to $5 million (USD),Unknown
Data Scientist,$95K,$119K,Lorven Technologies Inc,4.0,"New York, NY","Plainsboro, NJ",1 to 50 employees,,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),Unknown
Data Analyst,$95K,$119K,Nolij Consulting,3.9,"Falls Church, VA","Vienna, VA",51 to 200 employees,2012,Company - Public,Consulting,Business Services,$1 to $5 million (USD),Unknown
Data Scientist,$95K,$119K,Dice.com,3.4,"Newton, MA","Denver, CO",201 to 500 employees,1990,Subsidiary or Business Segment,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),"Monster Worldwide, CareerBuilder, Craigslist"
Data Scientist,$95K,$119K,Gap Inc.,3.5,"San Francisco, CA","San Francisco, CA",10000+ employees,1969,Company - Public,"Department, Clothing, & Shoe Stores",Retail,$10+ billion (USD),"H&M, Inditex, Fast Retailing"
Data Scientist,$95K,$119K,"Tygart Technology, Inc",4.7,"Washington, DC","Fairmont, WV",1 to 50 employees,,Company - Private,Unknown,Unknown,$1 to $5 million (USD),Unknown
Data Scientist,$95K,$119K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$95K,$119K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$95K,$119K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$95K,$119K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$95K,$119K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$95K,$119K,Hatch Data Inc,,"San Francisco, CA",not available,Unknown,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$95K,$119K,Murray Resources,4.6,"The Woodlands, TX","Houston, TX",1 to 50 employees,1988,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),Unknown
Data Scientist,$95K,$119K,New York Technology Partners,4.0,"Seattle, WA","Jersey City, NJ",51 to 200 employees,1999,Company - Private,Computer Hardware & Software,Information Technology,$10 to $25 million (USD),Unknown
Data Scientist,$95K,$119K,Two95 International Inc.,4.0,"Chicago, IL","Cherry Hill, NJ",1 to 50 employees,,Company - Private,Staffing & Outsourcing,Business Services,$1 to $5 million (USD),Unknown
Data Scientist,$95K,$119K,Sophinea,,"Chantilly, VA",not available,1 to 50 employees,,Unknown,Unknown,Unknown,Unknown / Non-Applicable,Unknown
Data Scientist,$95K,$119K,CRS Group,4.7,"Chicago, IL","Itasca, IL",51 to 200 employees,1994,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),Unknown
Data Scientist,$95K,$119K,Blackstone Talent Group,3.5,"San Francisco, CA","San Francisco, CA",51 to 200 employees,1998,Company - Private,Consulting,Business Services,$25 to $50 million (USD),Unknown
